,l_margine,r_margine,b_margine,depth,width,group_index
M1,1.37,2.22,1.77,3.88,5.68,1
M2,2.98,2.15,0.36,5.81,5.47,4
M3,2.6,1.79,0.14,3.04,4.8,5
M4,1.41,2.4,0.97,4.57,3.86,5
M5,1.6,1.36,0.5,4.36,3.23,4
M6,2.14,1.74,0.5,4.04,5.63,2
M7,1.15,1.78,0.9,4.48,4.85,5
M8,2.94,2.31,1.81,4.73,3.09,4
M9,3.0,1.31,0.82,4.58,5.01,2
M10,2.34,2.85,0.57,5.71,3.67,8
M11,1.73,1.29,0.84,5.5,5.87,5
M12,1.64,2.76,1.34,4.73,3.99,5
M13,2.28,1.72,1.39,4.22,3.58,2
M14,1.1,1.92,0.81,3.48,3.34,1
M15,2.68,1.17,0.81,4.52,3.17,7
M16,2.19,2.11,1.0,3.8,5.7,1
M17,1.57,1.09,0.38,5.16,4.31,3
M18,1.59,2.55,1.37,5.34,5.91,1
M19,2.86,2.88,1.37,3.67,5.23,7
M20,1.23,2.6,0.14,4.52,5.27,8
M21,1.96,1.63,1.19,4.27,5.51,1
M22,1.38,1.57,0.57,3.75,5.4,2
M23,2.53,2.78,0.61,5.48,3.28,1
M24,1.12,1.82,1.76,5.34,4.28,3
M25,1.05,1.0,0.14,4.95,5.16,2
M26,2.32,2.12,0.15,3.34,4.39,1
M27,2.14,1.25,1.92,3.29,4.46,4
M28,1.31,2.41,0.57,5.93,5.08,4
M29,2.82,2.51,0.52,5.77,3.88,5
M30,1.21,1.72,0.96,3.28,4.6,8
M31,2.3,1.39,0.82,3.74,4.17,3
M32,2.56,1.1,0.56,4.61,4.02,7
M33,2.23,1.49,1.35,3.49,5.16,4
M34,1.9,1.84,1.69,5.57,5.52,1
M35,1.06,2.32,0.97,3.27,5.49,1
M36,1.43,1.17,1.44,4.07,4.78,5
M37,2.28,2.63,0.11,3.38,5.17,2
M38,1.38,2.2,1.09,4.19,3.04,7
M39,2.97,2.98,1.61,3.68,4.73,5
M40,1.53,2.35,0.02,5.84,3.45,2
M41,2.8,2.69,1.11,3.49,4.47,1
M42,1.56,1.08,1.17,3.77,4.78,3
M43,2.77,2.48,1.21,5.07,4.53,6
M44,1.6,1.18,1.09,5.36,3.08,1
M45,1.51,2.58,1.37,4.51,5.57,1
M46,2.24,2.03,0.84,5.98,4.31,5
M47,1.47,1.62,0.91,5.79,5.1,6
M48,2.11,1.04,0.5,5.66,4.86,7
M49,2.05,2.29,0.95,4.22,3.12,8
M50,1.97,1.13,0.51,5.01,4.84,6
M51,2.64,2.97,1.43,3.21,3.4,5
M52,1.55,1.67,0.34,5.81,5.08,8
M53,2.04,1.33,0.62,5.62,4.17,1
M54,1.51,2.34,0.22,3.99,5.93,3
M55,1.23,2.87,1.91,5.35,3.58,4
M56,2.86,2.43,1.92,4.9,3.6,4
M57,1.16,1.61,0.53,5.34,5.72,2
M58,1.21,1.96,0.61,4.86,3.09,6
M59,2.43,1.96,1.47,3.76,3.71,8
M60,2.26,2.23,1.1,5.99,3.5,8
M61,1.39,2.01,0.1,4.97,4.66,1
M62,2.29,2.8,0.41,3.22,5.72,5
M63,1.41,2.46,1.05,3.2,5.78,2
M64,2.06,1.36,1.07,5.33,5.97,6
M65,2.04,2.81,1.62,4.25,4.74,3
M66,2.32,2.08,0.82,5.27,4.37,4
M67,2.55,1.71,1.06,6.0,3.47,4
M68,2.59,2.98,1.94,4.02,5.78,8
M69,2.98,2.24,0.69,5.35,4.05,7
M70,1.82,2.61,1.35,3.69,5.53,5
M71,2.12,1.52,1.57,3.02,5.26,2
M72,1.7,2.62,1.19,4.61,4.93,7
M73,1.78,2.18,1.29,3.7,4.3,5
M74,1.25,2.41,0.48,3.25,3.29,2
M75,1.81,1.53,1.67,5.92,3.62,1
M76,2.31,2.57,1.52,4.35,3.15,7
M77,2.9,2.31,1.29,5.11,5.91,8
M78,2.39,1.04,0.93,4.25,4.71,3
M79,2.39,1.18,1.43,5.71,3.57,1
M80,1.13,2.33,0.94,3.31,5.43,8
M81,1.78,2.81,1.36,4.04,4.54,7
M82,2.34,1.22,1.55,3.28,3.59,8
M83,1.49,1.72,0.37,5.13,4.92,8
M84,2.23,2.98,0.83,4.43,3.7,8
M85,1.01,1.86,0.05,3.29,5.68,2
M86,1.13,2.52,0.85,4.99,3.01,3
M87,2.12,1.52,0.75,5.29,4.69,6
M88,1.47,1.82,1.68,4.13,4.57,8
M89,2.39,1.13,1.04,5.67,5.41,3
M90,2.23,1.1,1.3,3.47,4.09,7
M91,2.77,1.39,0.58,5.43,5.79,7
M92,2.59,2.03,1.28,3.21,4.4,5
M93,1.01,2.31,0.24,5.04,3.45,7
M94,1.82,1.16,2.0,3.94,5.29,1
M95,2.72,2.02,1.74,5.92,3.79,6
M96,1.76,2.66,0.13,5.11,3.32,7
M97,2.22,2.95,1.82,5.18,4.14,1
M98,1.28,2.93,0.23,5.4,3.8,1
M99,2.46,1.22,0.91,5.77,5.51,2
M100,2.68,2.78,1.69,5.66,3.0,3
M101,2.63,1.9,1.84,5.07,3.83,6
M102,1.64,2.0,0.44,4.62,5.52,8
M103,1.73,2.36,0.06,4.37,4.57,7
M104,1.78,2.06,1.4,3.11,3.13,4
M105,2.98,1.29,1.53,4.69,3.05,8
M106,1.45,1.91,1.95,3.84,3.56,8
M107,2.2,2.14,0.85,3.03,5.34,7
M108,2.7,2.64,1.04,3.88,3.08,1
M109,2.96,2.46,1.92,4.47,4.27,2
M110,1.93,1.61,1.11,5.63,5.7,7
M111,2.24,2.7,0.77,5.73,3.78,6
M112,2.69,1.52,1.31,3.3,4.07,1
M113,2.99,1.76,0.76,5.83,5.11,8
M114,1.67,2.71,0.22,3.05,5.76,1
M115,1.85,2.83,0.57,4.07,3.08,5
M116,2.85,1.34,0.19,5.47,4.87,4
M117,1.84,2.79,0.69,5.55,3.46,4
M118,1.93,1.37,1.93,4.15,5.09,4
M119,2.15,2.31,1.58,4.42,4.36,8
M120,2.28,1.81,1.13,5.87,5.89,4
M121,2.25,1.76,0.33,4.93,4.76,5
M122,1.67,2.49,0.14,4.06,4.67,7
M123,2.41,1.29,1.57,5.58,3.46,5
M124,2.59,2.63,1.37,5.34,4.17,7
M125,2.38,1.7,0.33,3.96,4.3,4
M126,2.46,2.19,1.69,5.66,3.27,7
M127,2.31,1.66,0.72,4.54,4.81,4
M128,2.1,1.16,1.65,4.67,4.56,5
M129,2.15,1.1,1.13,5.88,5.56,3
M130,1.3,1.12,0.34,3.35,4.93,2
M131,1.1,1.23,1.4,3.3,3.96,6
M132,1.2,2.75,0.52,4.78,4.15,3
M133,1.56,1.79,1.45,3.94,3.74,7
M134,2.6,1.83,0.48,5.34,3.54,5
M135,2.5,2.89,0.25,5.57,5.07,6
M136,1.11,1.82,1.55,5.3,3.79,3
M137,2.74,2.64,1.11,4.22,3.04,7
M138,2.31,1.38,1.34,4.68,3.46,3
M139,1.98,2.35,1.34,5.0,5.57,7
M140,2.52,2.8,1.55,4.08,5.21,7
M141,1.97,2.79,0.4,3.84,4.37,8
M142,2.37,1.76,1.66,5.78,3.17,7
M143,2.26,1.7,1.82,3.21,3.72,7
M144,1.29,1.89,1.22,3.91,3.99,8
M145,2.58,2.13,0.52,3.84,3.46,1
M146,1.63,2.15,1.01,3.28,5.65,2
M147,2.76,1.57,1.97,3.75,4.91,5
M148,2.94,1.79,1.36,3.32,4.63,7
M149,1.58,1.62,0.24,4.65,3.82,4
M150,2.32,2.5,0.5,3.4,4.96,5
M151,1.58,1.72,1.9,3.78,5.73,4
M152,1.77,1.4,0.83,3.54,3.2,1
M153,2.3,2.25,0.4,4.91,4.65,6
M154,1.13,1.7,0.11,4.16,5.0,7
M155,1.08,2.25,1.87,3.07,5.27,3
M156,1.59,1.52,0.77,3.74,4.47,3
M157,2.7,2.15,0.39,3.97,5.87,7
M158,1.17,2.55,0.43,5.16,3.7,5
M159,2.43,2.14,1.56,5.68,3.31,7
M160,2.82,1.72,1.84,3.21,5.51,6
M161,2.65,1.76,1.22,3.49,3.82,2
M162,2.81,2.02,0.96,3.77,5.92,7
M163,1.1,2.16,0.14,5.32,3.02,7
M164,1.8,2.25,0.32,5.23,5.08,6
M165,2.96,1.51,0.14,3.85,3.4,3
M166,2.41,1.87,1.85,4.92,5.92,2
M167,2.11,1.95,1.62,3.35,3.63,6
M168,2.48,1.24,0.76,3.43,5.39,2
M169,2.19,2.86,0.84,4.32,3.52,4
M170,2.49,1.17,0.15,5.81,4.1,8
M171,1.4,1.48,0.05,3.9,5.03,6
M172,2.76,2.12,1.86,4.44,3.92,5
M173,1.43,2.21,0.75,4.18,4.11,6
M174,2.79,2.85,0.53,5.22,3.48,2
M175,1.56,1.43,0.39,3.42,5.42,6
M176,1.04,2.36,0.4,5.58,3.55,6
M177,1.61,1.65,0.67,3.28,5.45,5
M178,1.02,2.66,0.42,3.4,3.97,1
M179,1.28,1.75,0.48,4.88,3.29,4
M180,2.35,1.48,1.01,4.13,4.06,5
M181,2.9,2.8,1.35,3.84,4.01,4
M182,1.92,1.84,0.68,4.57,4.55,8
M183,1.4,2.16,0.77,3.27,4.41,4
M184,2.1,2.72,1.33,3.63,4.75,1
M185,1.6,2.87,0.98,4.08,5.49,4
M186,1.95,2.85,0.62,4.39,5.78,4
M187,2.42,2.58,0.53,4.2,4.66,6
M188,2.35,2.84,1.53,4.89,3.87,3
M189,1.11,2.26,1.53,5.48,3.59,8
M190,1.78,2.27,1.56,3.22,3.35,2
M191,2.89,2.36,1.94,5.71,4.85,8
M192,1.41,1.79,0.77,5.82,4.99,1
M193,1.36,1.65,0.55,4.53,3.58,8
M194,2.57,1.49,0.75,4.98,5.66,7
M195,2.86,1.39,1.99,3.45,5.87,4
M196,2.69,1.71,0.43,5.26,5.48,1
M197,2.26,1.03,1.73,4.09,5.01,8
M198,1.19,2.19,0.72,4.54,4.31,3
M199,2.69,2.75,0.41,5.25,5.72,3
M200,2.52,1.71,1.84,3.54,5.82,8
M201,2.7,1.57,1.5,5.13,5.81,3
M202,1.59,2.16,1.11,3.52,4.44,4
M203,2.33,1.1,0.77,5.25,5.47,2
M204,2.07,1.25,1.1,5.24,4.4,2
M205,1.46,1.75,0.24,3.06,3.77,2
M206,2.29,1.5,0.81,4.62,3.0,3
M207,2.54,1.68,1.69,4.4,5.0,6
M208,1.99,1.38,0.1,3.34,5.97,6
M209,2.73,1.78,0.27,5.24,5.27,1
M210,2.21,1.86,0.59,4.73,5.45,2
M211,1.97,2.62,0.46,5.04,3.18,4
M212,1.74,1.64,1.04,3.1,3.89,7
M213,1.41,2.57,0.04,5.17,3.43,2
M214,1.96,1.59,1.05,4.77,3.49,1
M215,2.75,2.85,1.25,4.54,5.76,8
M216,1.51,2.94,0.52,3.02,5.01,2
M217,2.16,2.34,0.0,3.49,3.31,7
M218,1.64,2.57,1.02,3.84,5.89,3
M219,1.36,1.28,0.64,4.65,3.19,6
M220,1.52,1.24,1.74,4.71,4.54,3
M221,2.11,2.2,0.3,3.98,3.85,7
M222,1.28,2.58,0.25,3.07,4.4,1
M223,2.54,2.27,0.16,5.77,4.21,2
M224,1.62,1.38,1.73,3.79,5.5,3
M225,2.26,2.69,0.96,3.83,3.42,4
M226,2.18,1.88,0.61,3.37,4.36,5
M227,1.92,2.29,1.37,4.22,4.75,7
M228,1.04,2.65,1.15,4.95,3.53,8
M229,2.67,1.63,1.58,4.23,3.47,1
M230,1.91,1.08,0.44,5.87,3.48,4
M231,2.23,1.75,0.07,5.49,3.56,1
M232,2.18,2.69,0.65,5.75,3.05,8
M233,1.25,2.34,0.27,4.82,3.46,8
M234,2.68,1.68,1.53,3.82,4.96,3
M235,1.66,1.93,0.5,3.84,5.75,8
M236,1.22,2.38,0.19,5.92,5.2,8
M237,2.28,1.47,1.87,3.61,5.12,6
M238,2.44,1.56,0.13,3.31,3.88,4
M239,2.31,1.78,0.69,5.85,3.92,1
M240,2.61,2.99,0.5,3.21,4.9,7
M241,1.54,2.63,1.97,3.52,5.69,3
M242,1.58,1.83,0.59,5.86,4.46,5
M243,2.29,1.83,1.1,4.6,5.72,4
M244,2.98,1.48,1.99,4.04,5.17,8
M245,1.21,1.95,0.22,3.46,5.8,7
M246,1.76,2.12,0.11,3.84,5.82,2
M247,2.33,2.79,0.76,4.87,5.95,3
M248,2.79,2.22,1.13,5.44,3.34,2
M249,2.34,2.76,0.04,3.68,4.0,7
M250,2.35,1.9,1.99,4.5,3.06,2
M251,1.64,1.04,1.76,4.34,3.62,4
M252,2.11,1.89,1.01,5.01,3.85,3
M253,2.98,2.65,1.24,4.93,5.11,6
M254,2.4,1.88,0.97,5.73,3.09,2
M255,2.65,1.82,1.54,5.63,5.55,1
M256,1.78,2.96,0.67,3.18,4.82,6
M257,3.0,2.92,1.95,5.47,4.04,5
M258,2.41,1.98,1.17,3.86,4.26,3
M259,2.52,1.05,0.85,4.85,4.2,8
M260,1.53,1.48,1.11,4.63,5.58,5
M261,2.52,2.81,1.15,4.07,3.58,2
M262,2.83,3.0,1.04,3.5,3.91,1
M263,2.04,1.71,1.67,5.91,5.31,7
M264,1.17,1.54,1.63,5.72,4.8,5
M265,1.94,1.54,1.22,5.54,5.47,5
M266,2.59,1.49,0.82,5.79,5.32,8
M267,2.81,2.79,1.94,4.72,4.08,7
M268,1.56,1.1,1.29,3.5,4.95,5
M269,1.62,1.38,0.76,5.38,4.58,6
M270,1.68,2.01,0.12,3.62,5.61,8
M271,2.18,1.55,0.64,3.02,5.08,5
M272,2.22,2.61,0.21,5.58,3.18,6
M273,2.15,1.89,0.31,5.67,5.13,2
M274,1.95,1.02,1.94,4.08,3.76,2
M275,2.04,2.39,0.91,3.64,4.36,5
M276,1.58,2.2,0.44,5.66,3.91,7
M277,2.27,1.67,1.99,4.2,3.27,1
M278,1.1,1.92,1.73,5.74,5.62,7
M279,1.9,1.66,1.63,3.12,3.13,3
M280,1.66,1.7,0.14,4.83,4.7,2
M281,2.29,2.57,0.71,4.59,4.4,7
M282,1.26,2.27,0.98,3.65,3.55,4
M283,1.18,1.05,0.31,4.39,3.11,2
M284,1.88,2.36,1.89,5.9,4.09,5
M285,1.24,1.71,1.21,5.68,3.07,7
M286,1.93,1.72,0.86,5.4,5.35,3
M287,2.39,1.91,0.82,3.56,3.53,4
M288,1.31,1.41,1.7,5.1,5.73,3
M289,2.44,1.4,1.25,4.61,4.38,7
M290,1.74,2.92,0.17,3.22,4.28,5
M291,2.91,1.7,1.51,5.23,5.21,2
M292,2.67,1.6,0.73,3.25,5.73,2
M293,2.76,1.24,0.37,3.5,4.15,1
M294,1.88,2.47,0.55,4.37,5.44,5
M295,2.19,2.51,0.34,3.86,4.19,3
M296,2.39,1.61,1.17,5.04,5.12,6
M297,1.37,1.39,1.65,4.26,5.33,3
M298,2.45,1.66,1.87,6.0,5.0,6
M299,1.1,1.51,1.91,5.05,3.12,2
M300,1.38,2.46,1.17,3.02,5.98,7
M301,2.16,2.43,0.67,4.23,4.42,2
M302,1.79,2.89,1.86,3.28,5.73,5
M303,1.05,2.2,1.46,4.74,6.0,3
M304,1.46,1.07,1.66,3.61,4.44,8
M305,2.51,1.78,0.27,5.74,5.86,8
M306,1.03,2.23,2.0,5.8,3.07,4
M307,2.84,1.54,0.12,4.84,5.14,3
M308,1.2,2.82,0.53,5.99,3.78,3
M309,1.83,1.1,0.16,5.45,5.62,8
M310,2.75,1.57,0.52,4.94,5.65,6
M311,1.68,2.81,1.43,5.63,5.64,7
M312,1.27,1.36,0.23,4.8,5.21,5
M313,1.44,1.45,1.16,5.48,3.48,3
M314,1.06,1.39,1.71,4.28,4.74,3
M315,1.59,2.07,0.12,3.97,4.38,5
M316,1.81,2.61,1.26,4.17,4.06,7
M317,2.11,1.88,1.94,4.38,4.85,5
M318,1.22,2.66,1.26,5.97,3.49,6
M319,2.27,1.29,0.71,5.32,3.57,5
M320,1.16,2.03,0.43,4.14,4.62,7
M321,2.03,1.27,1.19,5.49,3.83,4
M322,2.74,2.09,2.0,3.57,3.63,8
M323,2.88,2.98,1.35,4.79,4.32,6
M324,1.3,1.23,1.69,5.82,4.58,7
M325,2.33,1.74,0.06,5.46,3.2,3
M326,1.22,2.06,0.57,5.11,4.94,8
M327,2.91,2.16,1.76,4.13,4.67,6
M328,2.33,2.03,1.09,3.67,3.14,1
M329,2.12,2.8,0.61,4.72,4.27,3
M330,2.12,2.56,0.51,5.93,3.96,6
M331,1.23,1.96,1.8,3.0,3.17,7
M332,2.44,2.82,0.73,3.9,3.0,2
M333,2.98,1.38,0.37,4.32,5.9,3
M334,2.32,1.27,1.25,5.88,3.46,8
M335,2.89,1.27,0.18,3.16,3.96,8
M336,2.69,2.56,0.54,5.71,4.75,3
M337,1.93,2.01,1.66,5.31,4.16,6
M338,1.87,2.49,1.45,3.89,5.79,3
M339,1.49,1.78,1.15,4.38,4.7,3
M340,2.0,2.23,1.33,3.84,4.71,3
M341,1.95,1.2,0.74,3.71,3.38,7
M342,2.8,1.63,1.38,5.87,3.05,1
M343,1.81,2.14,1.49,5.09,4.09,6
M344,2.6,2.0,1.22,5.01,4.9,7
M345,1.89,1.29,0.44,4.79,4.51,6
M346,2.39,1.25,1.5,4.46,4.85,3
M347,1.51,1.25,0.77,3.27,5.83,1
M348,2.51,2.89,1.87,3.72,5.8,8
M349,1.9,2.98,0.34,5.88,4.09,2
M350,2.64,2.25,1.06,4.32,3.84,1
M351,1.55,1.56,0.19,5.99,5.89,5
M352,2.21,2.33,1.51,4.84,4.15,5
M353,1.25,2.52,1.15,3.23,4.35,3
M354,2.5,1.16,0.98,4.69,5.53,8
M355,1.16,1.31,1.78,5.47,4.84,1
M356,1.03,1.36,0.32,3.78,3.83,4
M357,1.7,2.14,0.45,3.78,3.08,2
M358,1.55,2.35,1.64,5.5,5.99,2
M359,2.07,1.7,0.49,3.8,3.56,5
M360,1.55,1.73,0.04,4.34,3.69,7
M361,2.17,2.35,1.33,5.34,4.39,1
M362,2.6,2.74,0.98,4.38,3.34,7
M363,2.7,2.89,2.0,3.73,4.31,7
M364,2.32,1.8,0.38,4.37,4.76,2
M365,3.0,1.82,0.07,5.92,5.36,3
M366,1.01,1.19,0.55,4.23,3.41,8
M367,2.12,1.61,1.4,3.77,4.18,5
M368,2.42,2.48,1.27,3.86,5.3,7
M369,2.45,2.66,1.53,4.34,4.45,7
M370,1.22,1.01,1.71,3.19,4.6,2
M371,1.5,1.72,1.01,3.87,4.51,6
M372,1.11,1.05,0.29,3.18,3.57,8
M373,2.84,1.44,1.24,5.92,3.02,7
M374,1.19,2.62,0.85,3.25,5.0,4
M375,1.75,1.08,1.3,4.47,3.59,2
